cep_inicial;cep_final
64765000;64766999
77493000;77494999
77765000;77769999
48290000;48299999
58995000;58995999
58485000;58486999
55120000;55124999
58235000;58237999
58725000;58729999
58322000;58323999
58915000;58919999
65763000;65764999
65140000;65142999
15520000;15524999
45585000;45589999
35606000;35609999
89126000;89129999
36144000;36144999
29847000;29847999
64271000;64274999
64106000;64107999
89620000;89632999
38440000;38459999
76870000;76879999
68610000;68616999
44570000;44574999
77848000;77849999
56160000;56162999
58733000;58733999
58393000;58393999
58595000;58599999
58398000;58398999
56540000;56549999
58260000;58264999
58208000;58209999
58685000;58689999
58820000;58821999
65775000;65779999
65938000;65938999
65923000;65923999
65283000;65283999
69490000;69494999
11365091;11365099
5761000;5799999
29329000;29329999
57535000;57535999
4750000;4799999
12620000;12629999
17780000;17789999
39644000;39644999
46455000;46459999
44830000;44830999
18320000;18324999
57950000;57950999
88658000;88679999
58225000;58227999
96770000;96779999
59464000;59469999
37640000;37649969
77455000;77457999
77485000;77489999
77635000;77639999
77743000;77744999
77690000;77692999
64612000;64612999
57410000;57410999
54700001;54749999
88745000;88749999
46805000;46809999
23900000;23969999
62375000;62379999
58180000;58183999
11086471;11086489
84280000;84284999
79995000;79995999
11442591;11442609
18150000;18159999
59795000;59799999
44640000;44640000
13710000;13714999
12250000;12259999
57690000;57690999
96460000;96469999
27600000;27600999
79935000;79935999
58119000;58119999
85620000;85627999
85892000;85895999
28301000;28349999
11345000;11349999
39505000;39507999
86270000;86279999
16620000;16639999
62140000;62149999
63180000;63180999
64775000;64777999
36285000;36289999
64870000;64872999
64440000;64444999
64435000;64437999
2200000;2317999
35500000;35516999
45983000;45984999
89430000;89439999
35367000;35367999
84940000;84944999
37750000;37756999
96495000;96499999
85168000;85169999
95755000;95757999
77640000;77644999
37660000;37669999
84300000;84319999
64450000;64450999
18600000;18619969
98918000;98918999
85980000;85987999
68740001;68746999
46960000;46969999
15367000;15369999
11350540;11350550
96908000;96909999
59259000;59259999
14440000;14444999
36470000;36474999
57965000;57967999
85565000;85567999
84640000;84659999
99980000;99989999
77665000;77669999
96500001;96510999
95590000;95594999
15950000;15952999
89850000;89853999
96685000;96689999
16850000;16850999
63500001;63514999
85898000;85899999
89790000;89799999
15620000;15624999
76938000;76939999
19470000;19499999
39815000;39815999
39135000;39139999
65790000;65794999
86315000;86319999
55250000;55259999
65238000;65244999
64431000;64434999
11463170;11463170
93995000;93999999
35116000;35116999
36560000;36569999
95290000;95299999
44590000;44599999
14400000;14414999
58670000;58674999
28500000;28539999
55315000;55319999
45820001;45831999
64900000;64904999
77900000;77902999
89667000;89668999
15330000;15339999
35485000;35487999
64453000;64454999
59544000;59546999
17680000;17689999
68719000;68719999
35621000;35621999
62630000;62639999
86770000;86779999
58208000;58209999
75940000;75959999
45570000;45579999
64868000;64869999
64578000;64579999
38310000;38319999
58550000;58559999
58297000;58299999
58273000;58274999
58338000;58338999
58115000;58116999
65289000;65289999
65995000;65999999
39450000;39454999
45452000;45454999
65943000;65949999
77463000;77464999
64565000;64567999
36585000;36589999
65665000;65667999
68618000;68619999
69640002;69649999
55150000;55169999
58348000;58349999
58950000;58954999
58399000;58399999
58695000;58697999
58710000;58712999
65660000;65664999
65990000;65994999
65278000;65278999
65795000;65799999
44770000;44774999
6784000;6799999
2240000;2271999
20500000;20599999
85933000;85934999
3000000;3099999
38220000;38220000
64241000;64242999
41300020;41300020
58530000;58534999
58945000;58949999
86130000;86139999
11443110;11443180
96635000;96639999
48730000;48730999
89145000;89147999
45120000;45129999
98980000;98984999
36606000;36607999
77660000;77664999
57490000;57499999
17490000;17499999
36120000;36122999
8271000;8274969
99880000;99889999
87140000;87154999
62760000;62761999
62630000;62639999
62766000;62769999
3564000;3578969
89982000;89982999
99665000;99669999
14490000;14499999
42840176;42840176
42843001;42849999
74900001;74999999
29189000;29189999
88860000;88861999
3817280;3881100
28997000;28999999
37240000;37244999
58715000;58719999
85833000;85834999
36660000;36669999
95600001;95613999
64333000;64334999
64690000;64694999
64590000;64594999
35188000;35188999
89888000;89889999
11360400;11365090
11086175;11086175
89140000;89144999
89654000;89659999
64253000;64254999
11441190;11441460
89370000;89379999
69230000;69239999
35675000;35679999
45770000;45779999
35850000;35857999
18650000;18659999
18960000;18969999
49570000;49579999
35441000;35441999
48950000;48959999
55450000;55459999
89533000;89534999
47680000;47689999
15409000;15409999
45160000;45169999
37605000;37609999
99345000;99349999
62800000;62809999
29725000;29729999
37720000;37729999
79200000;79214999
11542090;11542190
15780000;15782999
88970000;88979999
55260000;55269999
35199000;35199999
95768000;95769999
13861000;13869999
96150000;96154999
68990000;68996999
98410000;98414999
19190000;19199999
95360000;95364999
12935000;12939999
37516000;37516999
97185000;97189999
85408000;85409999
28200975;28229999
38930000;38949999
95572000;95574999
36858000;36859999
83350000;83369999
86828000;86829999
45940000;45949999
87640000;87649999
93900000;93939999
35617000;35619999
39387000;39389999
48970000;48989999
58915000;58919999
57970000;57974999
46820000;46824999
64295000;64295999
25800000;25844999
64235000;64237999
58610000;58619999
19300000;19349999
68518000;68519999
64535000;64535999
96875000;96877999
38195000;38199999
59247000;59249999
56160000;56162999
28993000;28996999
9450000;9499999
15940000;15944999
41300021;41300779
23600000;23859999
68650000;68650999
36680000;36687999
48180000;48180999
85423000;85424999
11330271;11330279
57275000;57279999
64258000;64259999
84600001;84614999
99920000;99924999
5687000;5699999
11088005;11088005
17475000;17479999
86755000;86759999
77680000;77684999
77475000;77477999
14390000;14399999
59930000;59939999
11330291;11330294
95735000;95739999
11555900;11569999
37275000;37277999
96450000;96459999
62920000;62929999
5300000;5360999
3960000;3976969
37582000;37583999
5364000;5364000
5565020;5567999
87950000;87954999
36141000;36143999
42835972;42839999
15408000;15408999
85485000;85499999
40391200;40391200
68633000;68633999
93000001;93179999
14711641;14719999
86290000;86299999
64728000;64729999
64768000;64769999
64868000;64869999
64145000;64147999
64930000;64939999
64782000;64782999
68690000;68690999
47600000;47609999
39237000;39239999
39628000;39629999
5570000;5573999
68380000;68382999
89669000;89669999
11085791;11085794
37160000;37164999
98635000;98639999
15735000;15739999
55470000;55479999
58930000;58932999
69343000;69344999
11355150;11355270
61605600;61605600
64350000;64359999
44380000;44380999
95990000;95994999
85988000;85989999
44660000;44669999
95720000;95725999
98850000;98854999
86350000;86359999
76921000;76922999
37225000;37234999
87175000;87179999
15105000;15107999
68430000;68439999
69895000;69899999
95340000;95344999
64875000;64879999
13858000;13859999
35669000;35669999
48960000;48966999
68700001;68704999
59920000;59924999
97180000;97184999
72880000;72910000
95960000;95964999
55820000;55824999
89196000;89197999
69375000;69377999
37300000;37304999
62180000;62183999
35476000;35477999
46170000;46179999
94800001;94889999
17160000;17179999
48960000;48969999
57560000;57569999
96180000;96189999
98905000;98909999
37215000;37217999
46540000;46549999
54500001;54599999
77593000;77599999
15835000;15839999
63860000;63869999
58334000;58336999
12690000;12699999
39492000;39494999
39663000;39664999
11330080;11330080
98390000;98399999
44345000;44349999
39130000;39134999
2100000;2199969
36180000;36184999
46740000;46749999
11432271;11432289
28100000;28179999
39704000;39704000
